0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001001	0.000322	0.008156	-0.030291	0.066698	0.226321	0.273653	0.306594	0.174965	0.068422	0.056679	0.061560	0.041216	0.010432	0.001763	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002162	0.000774	0.022025	-0.092577	0.233163	0.916900	1.306183	1.760799	1.242703	0.623635	0.698143	1.106408	1.223177	0.643245	0.398813	0.920503	0.651386	0.283247	0.264518	0.272344	0.137336	0.271990	0.356218	0.102380	0.112221	0.107436	0.026620	0.036768	0.029260	0.010061	0.001111	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001109	0.000438	0.013675	-0.062928	0.173101	0.742113	1.151089	1.688290	1.296075	0.707662	0.862574	1.490303	1.799478	1.036055	0.705454	1.795109	1.407115	0.681707	0.714325	0.832359	0.480095	1.101919	1.700273	0.587979	0.797058	0.979224	0.327886	0.660824	0.868373	0.620349	0.251431	0.302315	0.289193	0.431839	0.495137	0.290854	0.333494	0.338552	0.202776	0.129876	0.101842	0.054674	0.039532	0.027434	0.019009	0.016274	0.003197	0.000000	
-0.000000	0.000002	0.000222	-0.002120	0.009631	0.060249	0.126292	0.237701	0.225676	0.148259	0.212912	0.426315	0.588782	0.383656	0.293113	0.830997	0.721546	0.385389	0.443496	0.565788	0.356425	0.891861	1.498385	0.563766	0.831291	1.111162	0.405112	0.890113	1.277507	0.999177	0.444751	0.589557	0.624712	1.039333	1.337107	0.888931	1.165823	1.371582	0.967877	0.745891	0.723339	0.498330	0.486929	0.493070	0.564132	1.003404	0.723392	0.270818	0.754950	0.761418	0.217478	0.240671	0.252279	0.111986	0.113310	0.143359	0.160304	0.121413	0.052858	0.040967	0.028354	0.007964	0.001807	0.000000	
0.000000	0.001703	0.007193	0.019065	0.019831	0.072406	0.164396	0.079375	0.144746	0.232795	0.099995	0.254625	0.417995	0.370000	0.184792	0.272919	0.320343	0.587565	0.830156	0.604242	0.865511	1.110119	0.852953	0.715176	0.754405	0.565473	0.601614	0.664153	0.829924	1.616152	1.279595	0.528133	1.630833	1.832550	0.587294	0.735556	0.881911	0.453690	0.540842	0.823324	1.138567	1.106618	0.651070	0.736283	0.841488	0.491015	0.408961	0.454171	0.679194	0.807183	0.366901	0.121521	0.246409	0.189781	0.178895	0.168938	0.183139	0.121042	0.027955	0.019166	0.017587	0.008544	0.003281	0.000000	
0.000000	0.002597	0.013464	0.020360	0.048157	0.090126	0.093582	0.100693	0.131359	0.118470	0.148498	0.189987	0.271547	0.598469	0.531667	0.244485	0.836265	1.035994	0.364627	0.499987	0.654735	0.367204	0.476623	0.789420	1.187466	1.255720	0.804414	0.991756	1.237956	0.790863	0.723404	0.885697	1.467187	1.942697	0.990808	0.371401	0.861392	0.768861	0.853890	0.970224	1.300760	1.103236	0.344328	0.344473	0.521926	0.526834	0.742438	0.912398	0.678830	0.191398	0.126096	0.236095	0.210064	0.258469	0.193153	0.120100	0.155578	0.085529	0.038041	0.032811	0.033822	0.010875	0.001629	0.000000	
0.000000	0.004579	0.005914	0.016847	0.036429	0.029812	0.052293	0.111146	0.206765	0.263081	0.198556	0.283701	0.405054	0.292861	0.300572	0.410009	0.752350	1.098263	0.615153	0.252456	0.639501	0.622294	0.752500	0.930271	1.356626	1.251883	0.425427	0.463997	0.767832	0.848556	1.313286	1.779302	1.466401	0.460648	0.340519	0.721572	0.734337	1.047141	0.921945	0.689743	1.105002	0.779553	0.468566	0.589711	1.003751	0.670560	0.368550	0.805242	0.589556	0.191526	0.516124	0.435072	0.185160	0.178080	0.180038	0.170906	0.103446	0.057577	0.084812	0.047657	0.009536	0.008715	0.002864	0.000000	
0.000000	0.004854	0.009977	0.008507	0.035582	0.050521	0.082561	0.130977	0.236219	0.262277	0.105010	0.132731	0.251231	0.314224	0.545665	0.823679	0.751947	0.260418	0.211415	0.490481	0.545175	0.847525	0.812474	0.661340	1.152459	0.884587	0.578926	0.794326	1.476669	1.080050	0.651921	1.570333	1.273552	0.460957	1.393780	1.329700	0.647279	0.721459	0.859345	0.981530	0.734730	0.524786	1.044666	0.856530	0.282996	0.537358	0.648050	0.471899	0.454027	0.497992	0.350347	0.189921	0.304788	0.359726	0.219540	0.071942	0.057347	0.060544	0.055217	0.044911	0.024677	0.010715	0.002782	0.000000	
0.000000	0.001151	0.003429	0.016527	0.030333	0.068807	0.089141	0.093113	0.200669	0.185326	0.142898	0.227224	0.483160	0.399948	0.270871	0.726943	0.653057	0.260592	0.865342	0.903850	0.480543	0.583928	0.757308	0.941111	0.766285	0.595494	1.290713	1.153724	0.416330	0.865507	1.146323	0.920268	0.980784	1.198548	0.946104	0.580450	1.065472	1.457363	1.047891	0.413171	0.407309	0.551829	0.680127	0.807179	0.732360	0.660691	0.629527	0.653221	0.588379	0.531221	0.410596	0.192190	0.197391	0.199481	0.138040	0.099451	0.091121	0.079932	0.047907	0.051145	0.035025	0.009449	0.001828	0.000000	
0.000000	0.001152	0.014035	0.030456	0.026737	0.047407	0.083088	0.132503	0.133427	0.124760	0.318591	0.330033	0.136221	0.320502	0.476293	0.426013	0.502931	0.677574	0.587398	0.394555	0.791011	1.179547	0.923466	0.396157	0.424802	0.626181	0.840315	1.087250	1.077412	1.064155	1.113558	1.273871	1.271010	1.278522	1.108804	0.587387	0.690036	0.808162	0.658881	0.571158	0.647193	0.728537	0.590092	0.919217	1.039439	0.582628	0.413696	0.476506	0.438787	0.513806	0.625492	0.641299	0.398680	0.091690	0.063712	0.111884	0.155702	0.086217	0.039560	0.039456	0.021448	0.006707	0.003353	0.000000	
