utt,point,etype,level,lsd_mean,lsd_median,lsd_p90,lsd_frames,nmr_median,nmr_p90,segsnr_mean,segsnr_median,crest_delta_median,crest_delta_p90,estoi_orig
hts2a,coslsp,framemod,0.0064,4.0514,3.1058,7.3711,293,-11.955,-3.614,6.7547,6.9167,0.050849,1.7298,0.44728
hts2a,coslsp,framemod,0.0256,16.744,9.594,38.782,293,6.9011,40.324,-5.3071,-10,-0.26877,3.6495,0.18535
hts2a,coslsp,framemod,0.1024,44.875,43.273,65.268,293,44.695,67.278,-9.8848,-10,-7.8403,-5.7909,0.16538
hts2a,coslsp,dc,0.0001,0.06051,0.033313,0.11456,293,-49.98,-43.493,34.932,35,-0.00046554,0.016943,0.56834
hts2a,coslsp,dc,0.0004,0.23124,0.13234,0.50281,293,-37.888,-31.299,30.653,30.769,-0.0022215,0.066752,0.56828
hts2a,coslsp,dc,0.0016,0.87407,0.54883,1.8678,293,-25.801,-19.207,19.551,18.733,-0.017258,0.23421,0.5678
hts2a,coslsp,dc,0.0064,2.7082,2.2005,5.2273,293,-13.717,-8.4995,7.5339,6.5596,-0.02318,0.79374,0.56918
hts2a,coslsp,dc,0.0256,7.413,7.4867,10.988,293,-2.5327,4.3866,-2.6877,-3.0159,-0.14485,1.5268,0.4643
hts2a,coslsp,dc,0.1024,23.963,19.861,41.504,293,8.0133,31.332,-9.228,-10,-6.4329,-1.6827,0.072329
hts2a,coslsp,worst,0.0001,0.058337,0.030981,0.12684,293,-51.581,-42,34.877,35,-0.0051575,0.011632,0.56792
hts2a,coslsp,worst,0.0004,0.22792,0.12502,0.50627,293,-39.437,-29.93,31.477,32.509,-0.019555,0.047241,0.56651
hts2a,coslsp,worst,0.0016,0.85806,0.5054,2.0783,293,-27.211,-17.889,20.637,20.19,-0.07834,0.20276,0.55884
hts2a,coslsp,worst,0.0064,3.3823,2.1045,7.251,293,-14.137,-4.0583,6.9601,7.2512,-0.39852,0.53437,0.49286
hts2a,coslsp,worst,0.0256,9.4381,7.6846,15.59,293,0.17552,19.24,-5.3535,-6.3145,-1.72,0.94384,0.35482
hts2a,coslsp,worst,0.1024,25.751,26.052,40.155,293,29.151,52.85,-9.3279,-10,-3.1612,-0.45522,0.2407
hts2a,state,white,0.25,0.032602,0.0068053,0.11019,293,-69.993,-44.253,35,35,-0.00015234,0.0011289,0.56837
hts2a,state,white,1,0.13313,0.027043,0.43668,293,-57.946,-32.232,33.951,35,-0.00065217,0.004502,0.56842
hts2a,state,white,4,0.4938,0.10751,1.6502,293,-45.884,-20.134,30.941,35,-0.0024614,0.017792,0.56861
hts2a,state,white,16,1.4682,0.42212,4.8456,293,-33.755,-8.3009,25.612,31.284,-0.0091394,0.075191,0.56931
hts2a,state,white,64,3.5773,1.5287,10.588,293,-22.023,4.4983,15.562,19.242,-0.035054,0.34143,0.5703
hts2a,state,white,256,7.8111,4.4548,20.325,293,-10.086,18.206,5.3184,7.2465,-0.11444,0.90511,0.55441
hts2a,state,framemod,0.25,0.047373,0.010193,0.15204,293,-67.024,-41.176,34.998,35,-5.0373e-05,0.0018265,0.56832
hts2a,state,framemod,1,0.17816,0.040753,0.59735,293,-54.989,-29.149,33.509,35,-0.00030198,0.0072991,0.56821
hts2a,state,framemod,4,0.64903,0.16347,2.2381,293,-42.972,-17.097,30.042,35,-0.00076877,0.032999,0.56779
hts2a,state,framemod,16,1.8788,0.65013,6.1397,293,-31.02,-5.3581,23.51,27.847,-0.0036222,0.13137,0.56596
hts2a,state,framemod,64,4.475,2.2107,12.443,293,-18.895,8.3684,12.794,15.84,-0.013794,0.61523,0.5575
hts2a,state,framemod,256,9.3357,5.659,23.131,293,-7.4305,21.748,2.9818,3.9225,0.053787,1.5221,0.52692
hts2a,state,dc,0.25,0.037272,0.0024713,0.089181,293,-78.845,-47.641,33.48,35,-0.00014961,0.004853,0.56835
hts2a,state,dc,1,0.13636,0.009887,0.38064,293,-66.804,-35.524,30.701,35,-0.00060485,0.019276,0.56835
hts2a,state,dc,4,0.40809,0.039578,1.2685,293,-54.754,-23.63,26.926,35,-0.0019613,0.064857,0.56837
hts2a,state,dc,16,1.1013,0.15587,3.7339,293,-42.622,-13.879,21.459,31.64,-0.012628,0.14688,0.56846
hts2a,state,dc,64,2.4869,0.57307,7.4016,293,-30.502,-2.3849,14.249,19.581,-0.057755,0.22586,0.56868
hts2a,state,dc,256,5.2982,2.1195,15.158,293,-19.163,11.341,5.7823,7.2826,-0.22832,0.42059,0.57046
hts2a,pulsepos,white,0.03125,0.15982,0.074266,0.17478,293,-48.316,-42.27,34.406,35,-1.2434e-14,0.0099885,0.56735
hts2a,pulsepos,white,0.125,0.59929,0.29653,0.87577,293,-36.342,-29.208,32.406,35,-1.2434e-14,0.059749,0.5677
hts2a,pulsepos,white,0.5,1.9507,1.351,5.3512,293,-23.391,-8.4755,23.64,25.886,-1.5987e-14,0.24789,0.5688
hts2a,pulsepos,white,2,3.5164,4.0683,6.4365,293,-11.865,-7.5526,16.556,13.014,-1.4211e-14,0.46583,0.56414
hts2a,pulsepos,white,8,4.4197,5.0306,7.4989,293,-8.8256,-5.139,10.461,5.4454,-7.1054e-15,0.88775,0.51786
hts2a,pulsepos,qround,0.03125,0.6204,0.17811,1.626,293,-40.601,-22.082,31.643,35,-1.5987e-14,0.067027,0.56662
hts2a,pulsepos,qround,0.125,2.2649,1.3106,5.9247,293,-23.734,-7.9205,22.155,24.653,-1.0303e-13,0.19145,0.5723
hts2a,pulsepos,qround,0.5,3.1744,3.4913,6.3176,293,-13.077,-7.3128,16.373,10.705,-1.5987e-14,0.28584,0.56422
hts2a,pulsepos,qround,2,4.3206,4.7758,7.2561,293,-9.4662,-5.9956,8.9378,4.4432,-1.2434e-14,0.59394,0.56713
