set,case,env,f0,L,engine,amp_shape_mean_db,amp_shape_max_db,spur_db,nmr_proxy_db
stress,nf-250Hz,nf,250,15,lsp-allpass-csd3,1.953,5.844,-94.76,-10.89
stress,nf-250Hz,nf,250,15,svf-csd3,2.551,7.769,-94.73,-4.73
stress,nf-250Hz,nf,250,15,parallel-sos-csd3,5.029,10.442,-94.62,0.69
stress,nf-350Hz,nf,350,11,osc-bank,0.0,0.0,-94.64,-100.88
stress,nf-350Hz,nf,350,11,impulse-iir,2.374,6.299,-39.84,-13.53
stress,nf-350Hz,nf,350,11,impulse-iir-csd-sos,2.123,5.897,-39.98,-14.4
stress,nf-350Hz,nf,350,11,kl-lattice-csd3,2.282,6.142,-39.79,-13.83
stress,nf-350Hz,nf,350,11,lsp-allpass-csd3,2.218,6.265,-39.52,-13.9
stress,nf-350Hz,nf,350,11,svf-csd3,2.141,5.751,-39.88,-14.46
stress,nf-350Hz,nf,350,11,parallel-sos-csd3,2.455,8.347,-40.14,-14.17
stress,nf-380Hz,nf,380,10,osc-bank,0.0,0.0,-94.75,-113.09
stress,nf-380Hz,nf,380,10,impulse-iir,2.885,8.462,-25.49,-3.26
stress,nf-380Hz,nf,380,10,impulse-iir-csd-sos,2.825,8.894,-25.33,-2.5
stress,nf-380Hz,nf,380,10,kl-lattice-csd3,2.865,9.14,-25.21,-2.59
stress,nf-380Hz,nf,380,10,lsp-allpass-csd3,2.932,8.865,-25.52,-2.26
stress,nf-380Hz,nf,380,10,svf-csd3,3.215,10.369,-26.41,-1.08
stress,nf-380Hz,nf,380,10,parallel-sos-csd3,3.224,8.926,-25.32,-2.59
stress,nf-400Hz,nf,400,9,osc-bank,0.0,0.0,-94.67,-102.54
stress,nf-400Hz,nf,400,9,impulse-iir,1.422,4.253,-94.65,-12.28
stress,nf-400Hz,nf,400,9,impulse-iir-csd-sos,1.401,3.93,-94.64,-12.74
stress,nf-400Hz,nf,400,9,kl-lattice-csd3,1.628,4.742,-94.64,-11.23
stress,nf-400Hz,nf,400,9,lsp-allpass-csd3,1.431,4.402,-94.65,-11.74
stress,nf-400Hz,nf,400,9,svf-csd3,1.823,4.056,-94.67,-12.34
stress,nf-400Hz,nf,400,9,parallel-sos-csd3,1.525,4.388,-94.65,-11.83
stress,nfhi-80Hz,nfhi,80,49,osc-bank,0.0,0.0,-94.5,-86.78
stress,nfhi-80Hz,nfhi,80,49,impulse-iir,0.398,0.951,-94.42,-17.35
stress,nfhi-80Hz,nfhi,80,49,impulse-iir-csd-sos,0.627,2.081,-94.57,-16.43
stress,nfhi-80Hz,nfhi,80,49,kl-lattice-csd3,0.358,0.923,-94.43,-17.51
stress,nfhi-80Hz,nfhi,80,49,lsp-allpass-csd3,0.567,2.908,-94.45,-17.33
stress,nfhi-80Hz,nfhi,80,49,svf-csd3,0.717,2.434,-94.56,-16.17
stress,nfhi-80Hz,nfhi,80,49,parallel-sos-csd3,0.662,2.023,-94.57,-16.14
stress,nfhi-120Hz,nfhi,120,33,osc-bank,0.0,0.0,-94.35,-87.91
stress,nfhi-120Hz,nfhi,120,33,impulse-iir,1.662,3.81,-13.63,-9.29
stress,nfhi-120Hz,nfhi,120,33,impulse-iir-csd-sos,1.518,4.353,-16.29,-8.68
stress,nfhi-120Hz,nfhi,120,33,kl-lattice-csd3,1.6,3.948,-13.54,-9.24
stress,nfhi-120Hz,nfhi,120,33,lsp-allpass-csd3,1.763,5.725,-14.8,-8.52
stress,nfhi-120Hz,nfhi,120,33,svf-csd3,1.538,3.121,-14.04,-9.35
stress,nfhi-120Hz,nfhi,120,33,parallel-sos-csd3,1.529,4.377,-15.75,-8.73
stress,nfhi-250Hz,nfhi,250,15,osc-bank,0.0,0.0,-94.71,-91.24
stress,nfhi-250Hz,nfhi,250,15,impulse-iir,1.164,2.779,-94.6,-9.94
stress,nfhi-250Hz,nfhi,250,15,impulse-iir-csd-sos,0.858,1.847,-94.6,-11.04
stress,nfhi-250Hz,nfhi,250,15,kl-lattice-csd3,1.237,2.889,-94.6,-9.81
stress,nfhi-250Hz,nfhi,250,15,lsp-allpass-csd3,0.902,2.264,-94.62,-10.31
stress,nfhi-250Hz,nfhi,250,15,svf-csd3,0.862,2.639,-94.7,-11.76
stress,nfhi-250Hz,nfhi,250,15,parallel-sos-csd3,1.952,3.377,-94.58,-7.71
stress,nfhi-350Hz,nfhi,350,11,osc-bank,0.0,0.0,-94.72,-117.25
stress,nfhi-350Hz,nfhi,350,11,impulse-iir,4.028,9.22,-11.31,-4.99
stress,nfhi-350Hz,nfhi,350,11,impulse-iir-csd-sos,2.548,7.944,-9.04,-7.0
stress,nfhi-350Hz,nfhi,350,11,kl-lattice-csd3,3.949,9.041,-11.41,-5.2
stress,nfhi-350Hz,nfhi,350,11,lsp-allpass-csd3,3.834,8.601,-12.34,-5.83
stress,nfhi-350Hz,nfhi,350,11,svf-csd3,3.851,8.998,-10.91,-5.14
stress,nfhi-350Hz,nfhi,350,11,parallel-sos-csd3,3.352,9.193,-10.64,-5.67
stress,nfhi-380Hz,nfhi,380,10,osc-bank,0.0,0.0,-94.72,-114.29
stress,nfhi-380Hz,nfhi,380,10,impulse-iir,2.708,7.327,-13.5,-7.72
stress,nfhi-380Hz,nfhi,380,10,impulse-iir-csd-sos,2.34,5.814,-14.47,-8.75
stress,nfhi-380Hz,nfhi,380,10,kl-lattice-csd3,2.322,6.206,-13.4,-8.48
stress,nfhi-380Hz,nfhi,380,10,lsp-allpass-csd3,2.247,6.061,-12.6,-8.54
stress,nfhi-380Hz,nfhi,380,10,svf-csd3,3.2,7.208,-13.28,-7.59
stress,nfhi-380Hz,nfhi,380,10,parallel-sos-csd3,2.641,6.71,-13.63,-8.19
stress,nfhi-400Hz,nfhi,400,9,osc-bank,0.0,0.0,-94.69,-97.02
stress,nfhi-400Hz,nfhi,400,9,impulse-iir,2.165,6.383,-94.73,-3.15
stress,nfhi-400Hz,nfhi,400,9,impulse-iir-csd-sos,2.513,6.242,-94.71,-3.27
stress,nfhi-400Hz,nfhi,400,9,kl-lattice-csd3,2.232,6.561,-94.73,-2.86
stress,nfhi-400Hz,nfhi,400,9,lsp-allpass-csd3,2.058,5.74,-94.68,-3.81
stress,nfhi-400Hz,nfhi,400,9,svf-csd3,2.83,6.928,-94.7,-1.86
stress,nfhi-400Hz,nfhi,400,9,parallel-sos-csd3,2.37,6.148,-94.71,-3.12
