set,case,form,terms,sd_rms_db,sd_max_db,unstable_before_fixup,note
stress,nfhi-380Hz,sos,2,0.996,2.044,0,
stress,nfhi-380Hz,sos,3,0.51,1.054,0,
stress,nfhi-380Hz,sos,4,0.05,0.096,0,
stress,nfhi-380Hz,lattice,2,1.033,2.135,0,kclamp=0
stress,nfhi-380Hz,lattice,3,0.407,0.849,0,kclamp=0
stress,nfhi-380Hz,lattice,4,0.032,0.08,0,kclamp=0
stress,nfhi-380Hz,svf,1,37.62,52.995,0,
stress,nfhi-380Hz,svf,2,1.652,3.942,0,
stress,nfhi-380Hz,svf,3,1.007,2.268,0,
stress,nfhi-380Hz,lsp-allpass,2,2.514,4.36,0,order_fixes=1
stress,nfhi-380Hz,lsp-allpass,3,0.493,1.178,0,order_fixes=0
stress,nfhi-380Hz,parallel,3,0.291,0.593,0,
stress,nfhi-380Hz,parallel,4,0.076,0.148,0,
stress,nfhi-400Hz,sos,2,2.919,7.495,0,
stress,nfhi-400Hz,sos,3,0.523,1.325,0,
stress,nfhi-400Hz,sos,4,0.093,0.204,0,
stress,nfhi-400Hz,lattice,2,0.569,1.467,0,kclamp=0
stress,nfhi-400Hz,lattice,3,0.089,0.213,0,kclamp=0
stress,nfhi-400Hz,lattice,4,0.015,0.033,0,kclamp=0
stress,nfhi-400Hz,svf,1,41.1,58.583,0,
stress,nfhi-400Hz,svf,2,3.307,7.804,0,
stress,nfhi-400Hz,svf,3,0.54,1.323,0,
stress,nfhi-400Hz,lsp-allpass,2,2.028,4.241,0,order_fixes=1
stress,nfhi-400Hz,lsp-allpass,3,0.233,0.564,0,order_fixes=0
stress,nfhi-400Hz,parallel,3,0.378,0.61,0,
stress,nfhi-400Hz,parallel,4,0.086,0.161,0,
