cond,utt,variant,lag,lsd_mean,lsd_median,lsd_p90,lsd_frames,nmr_median,nmr_p90,segsnr_mean,segsnr_median,crest_delta_median,crest_delta_p90,estoi_ref,estoi_orig,estoi_ref_vs_orig
q1300,hts1a,P1-knee,29,7.6696,7.5416,9.6968,248,-4.0860,-0.0002,-3.1579,-3.3753,1.5715,3.9793,0.8174,0.5721,0.5644
q1300,hts1a,P2-knee,27,7.7502,7.4854,9.7673,250,-4.2892,0.2702,-3.3966,-3.6390,1.0590,3.2586,0.8204,0.5585,0.5644
q1300,hts2a,P1-knee,2,7.9313,7.6795,9.9606,285,-4.9876,-1.5167,-3.0832,-3.2750,0.0667,1.6906,0.7653,0.5703,0.5759
q1300,hts2a,P2-knee,10,7.9812,7.6971,9.9190,287,-4.8559,-1.3629,-3.1717,-3.6467,-0.3344,1.4726,0.7700,0.5683,0.5759
q1300,ve9qrp_10s,P1-knee,72,7.4152,7.4008,8.8935,979,-4.3562,-1.6513,-3.3977,-3.4595,0.6597,3.9429,0.7578,0.5601,0.5159
q1300,ve9qrp_10s,P2-knee,72,7.3983,7.3623,8.8379,979,-4.4828,-1.5990,-3.2911,-3.4336,0.9400,4.1846,0.7574,0.5622,0.5159
