name,utt,variant,family,tier,dns_sig,dns_bak,dns_ovrl,dns_p808,nisqa_mos,nisqa_noi,nisqa_col,nisqa_dis,nisqa_loud
q1300_hts1a_L0,hts1a,L0,ladder,2,3.307163951470826,4.034863867126989,3.0282551457020723,2.9312095642089844,1.5512151718139648,2.9044954776763916,1.9402122497558594,1.761223554611206,3.0007433891296387
q1300_hts1a_L1,hts1a,L1,ladder,2,3.329824408985015,3.9989105706010477,3.0262529899555606,3.231889009475708,1.7726242542266846,3.0093140602111816,1.8835996389389038,2.0346310138702393,2.9968128204345703
q1300_hts1a_L2-1500,hts1a,L2-1500,ladder,2,3.215659111948671,3.974010864809659,2.9396810242706763,2.862553834915161,2.048631429672241,2.546732187271118,2.1308467388153076,3.41304349899292,2.9514734745025635
q1300_hts1a_L2-2000,hts1a,L2-2000,ladder,2,3.2156587476564287,3.996985035768878,2.948956724064308,2.9290378093719482,2.2634949684143066,3.2638638019561768,2.1269752979278564,3.4989523887634277,3.163877248764038
q1300_hts1a_L2-2500,hts1a,L2-2500,ladder,2,3.2220112771785665,3.974024738880193,2.9391396245902253,3.0351831912994385,2.219702959060669,3.172351837158203,2.037447690963745,3.119027853012085,3.1862733364105225
q1300_hts1a_L3,hts1a,L3,ladder,2,3.1827785697930597,3.9242017425448963,2.8795239025952313,2.6486549377441406,1.9944756031036377,3.093630075454712,1.9108244180679321,2.8284499645233154,3.010732412338257
q1300_hts1a_L4-0.50,hts1a,L4-0.50,ladder,1,3.1635297331271217,3.9374116043913445,2.8656983723439002,2.7111587524414062,2.2098042964935303,2.9169137477874756,1.8471362590789795,2.8697242736816406,3.0669422149658203
q1300_hts1a_L4-0.65,hts1a,L4-0.65,ladder,1,3.154454700885445,3.9327227736839383,2.8583283983754533,2.7737038135528564,2.2143213748931885,3.15771746635437,1.872585415840149,2.944230794906616,3.087395429611206
q1300_hts1a_L4-0.75,hts1a,L4-0.75,ladder,1,3.150910075591202,3.928025529360633,2.8527493584092785,2.7286880016326904,2.1120171546936035,3.1530144214630127,1.9021937847137451,2.8968393802642822,3.066997528076172
q1300_hts1a_P1-knee,hts1a,P1-knee,ladder,1,3.2224294003561926,4.00865726488484,2.9535515213294476,2.9620845317840576,2.453056573867798,2.8589274883270264,2.1937437057495117,3.5458984375,3.2723710536956787
q1300_hts1a_P2-knee,hts1a,P2-knee,ladder,1,3.290689707934977,4.070307968218899,3.0283768730860263,2.899587631225586,2.392845869064331,2.662658929824829,2.0657057762145996,2.797886848449707,3.128303289413452
q1300_hts1a_orig,hts1a,orig,ladder,,3.2836374600949045,4.064072146515982,3.027158898994042,3.173661231994629,3.62165904045105,4.0791239738464355,2.919041872024536,4.311131000518799,3.9828908443450928
q1300_hts1a_ref,hts1a,ref,ladder,0,3.113689952991058,3.915548964185303,2.809732605976436,3.0061099529266357,3.1415271759033203,3.718653678894043,2.489990234375,3.977797508239746,3.553985118865967
q1300_hts2a_L0,hts2a,L0,ladder,2,2.995371263543769,3.083717198379722,2.3532237955463073,3.0872347354888916,1.7346082925796509,3.1577396392822266,1.8696287870407104,1.8556404113769531,2.9581563472747803
q1300_hts2a_L1,hts2a,L1,ladder,2,3.115508420484503,3.343060986349093,2.574719094844796,3.025792121887207,1.6910290718078613,3.165369749069214,1.8353394269943237,1.8321282863616943,2.932967185974121
q1300_hts2a_L2-1500,hts2a,L2-1500,ladder,2,2.9467050462446767,3.209358111457663,2.3813783095036527,2.7851545810699463,1.7407922744750977,2.808446168899536,1.798259973526001,2.0298352241516113,2.7256360054016113
q1300_hts2a_L2-2000,hts2a,L2-2000,ladder,2,3.0769143330630513,3.155273023666892,2.459059149849143,2.9114811420440674,1.9514546394348145,2.9864742755889893,1.8548556566238403,2.160007953643799,2.9108407497406006
q1300_hts2a_L2-2500,hts2a,L2-2500,ladder,2,3.1686941429392497,3.290381967013177,2.5893566666351195,2.939037561416626,1.8969684839248657,3.0335237979888916,1.8292325735092163,2.0717482566833496,2.984769582748413
q1300_hts2a_L3,hts2a,L3,ladder,2,3.1241338937013396,3.2722191174626407,2.527426024398622,3.0048482418060303,2.188711404800415,3.0489208698272705,1.8932520151138306,2.93310809135437,3.0322585105895996
q1300_hts2a_L4-0.50,hts2a,L4-0.50,ladder,1,2.9910787492373654,3.4921569723597976,2.4967784790934178,2.9602482318878174,2.4128592014312744,3.1474649906158447,1.9047163724899292,2.8333065509796143,3.0892348289489746
q1300_hts2a_L4-0.65,hts2a,L4-0.65,ladder,1,3.0859583531920656,3.4925652495918165,2.58949007921381,2.921879768371582,2.3472230434417725,3.0866122245788574,1.9187941551208496,2.8936450481414795,3.069373369216919
