name,utt,variant,family,tier,dns_sig,dns_bak,dns_ovrl,dns_p808,nisqa_mos,nisqa_noi,nisqa_col,nisqa_dis,nisqa_loud
hts1a.buzz-l0,hts1a,buzz-l0,buzzy,resynth,3.388912616525901,4.073042492916147,3.1178055841468053,3.0051140785217285,1.5512151718139648,2.9044954776763916,1.9402122497558594,1.761223554611206,3.0007433891296387
hts1a.buzz-pump@2,hts1a,buzz-pump@2,buzzy,corrupt@2,2.4394194214038483,3.9349962405948897,2.2488767337856412,2.7617027759552,2.8329544067382812,3.5415329933166504,2.343869686126709,3.8002638816833496,3.363788366317749
hts1a.buzz-pump@4,hts1a,buzz-pump@4,buzzy,corrupt@4,1.5674846889652827,3.384648165418813,1.4816186002747707,2.306586503982544,2.0440900325775146,2.469975471496582,2.080495834350586,3.242793560028076,2.9310829639434814
hts1a.buzz-sharp@2,hts1a,buzz-sharp@2,buzzy,corrupt@2,3.0949611217539914,3.913100643832857,2.7885812963089585,2.9748764038085938,3.245626926422119,3.7510924339294434,2.5431835651397705,3.991304874420166,3.5961124897003174
hts1a.buzz-sharp@4,hts1a,buzz-sharp@4,buzzy,corrupt@4,3.0670450726465384,3.9243205545954987,2.769118039118986,3.0279204845428467,3.2209904193878174,3.587481737136841,2.5345280170440674,3.9488139152526855,3.5416641235351562
hts1a.buzz-spur@2,hts1a,buzz-spur@2,buzzy,corrupt@2,3.144453804980097,3.864415742395886,2.8169944150702304,2.830688238143921,2.703097343444824,2.2302727699279785,3.212749481201172,3.952634811401367,3.675743579864502
hts1a.buzz-spur@4,hts1a,buzz-spur@4,buzzy,corrupt@4,3.062373395002035,3.4480881060196977,2.606660711665342,2.8442962169647217,2.2350142002105713,2.2555556297302246,3.461203098297119,4.311716079711914,3.1838879585266113
hts1a.orig,hts1a,orig,anchor,anchor,3.2836374600949045,4.064072146515982,3.027158898994042,3.173661231994629,3.62165904045105,4.0791239738464355,2.919041872024536,4.311131000518799,3.9828908443450928
hts1a.par-noise-1000,hts1a,par-noise-1000,smooth,resynth,3.052393413488895,3.8915928568555374,2.737264101988735,2.403623104095459,1.6697806119918823,2.446782350540161,2.2812540531158447,3.10664963722229,2.7578773498535156
hts1a.par-noise-2000,hts1a,par-noise-2000,smooth,resynth,3.2286352826045173,3.964553504559128,2.939111149732216,2.802257776260376,2.256758451461792,3.2114927768707275,2.2956767082214355,2.7206172943115234,3.0034515857696533
hts1a.par-plain,hts1a,par-plain,buzzy,resynth,3.2727509328468236,4.0161688244713645,2.9944195871617425,2.845801830291748,1.6777664422988892,3.2024567127227783,2.207061529159546,1.901625156402588,2.9978320598602295
hts1a.ref,hts1a,ref,anchor,anchor,3.113689952991058,3.915548964185303,2.809732605976436,3.0061099529266357,3.1415271759033203,3.718653678894043,2.489990234375,3.977797508239746,3.553985118865967
