utt,variant,family,tier,knob,lag,lsd_mean,lsd_median,lsd_p90,segsnr_mean,segsnr_median,nmr_median,nmr_p90,crest_delta_median,crest_delta_p90,estoi_ref,estoi_orig
hts1a,buzz-l0,buzzy,resynth,,3,7.989281277386262,7.449496075976928,11.161876728702202,-3.6231399495789574,-3.8355042597858215,-3.2966805851849434,1.5928377969726346,2.1184438005800583,4.760539837380535,0.8204084094341588,0.5456208281598799
hts1a,smooth-mix-800,smooth,resynth,,3,8.532675650807867,8.348647234045686,10.860249999709682,-3.2120556400759046,-3.49735457413553,-0.8957727751550653,3.3059397737499974,0.15202657021205468,2.61170462071454,0.7880668739791161,0.5249841250935848
hts1a,smooth-mix-1500,smooth,resynth,,3,8.27750674078274,8.136903307268359,10.396710122286313,-2.938364260405772,-3.2549718221181894,-1.6513250667751818,2.1928370403051862,1.4539485897160418,4.034314636479859,0.8056455097337353,0.5404049004737179
hts1a,par-plain,buzzy,resynth,,1,8.317837371011528,7.779883596493828,12.107288584051739,-3.737766102895309,-3.6931552095822666,-2.5412292188716354,3.971492938320455,1.7424600769028658,4.617281565967331,0.7699600629025629,0.5431501142782631
hts1a,par-noise-1000,smooth,resynth,,1,9.551017136990202,9.116188800061792,12.503963013376866,-3.703614116203191,-3.7210225866818987,-0.14287194805111614,7.8101982742298075,0.25878182285160456,2.5586972310280984,0.669140069415603,0.4658535429958103
hts1a,par-noise-2000,smooth,resynth,,1,9.107101400015573,8.591954027362988,12.157949530961679,-3.680455451208017,-3.6849065773075846,-1.4368470745941557,5.5308383174872375,1.4781574678606475,3.8213157312223434,0.7473770584376754,0.5336753451367368
hts1a,buzz-spur@2,buzzy,corrupt@2,level_db=-47.44,0,2.0723673461185235,1.2097250256845133,5.771011968177069,25.931868800749697,31.323655052145874,-21.953159773789075,3.846181670730174,-0.001969346222522539,0.09067918615735238,0.9993641776157068,0.5648564856669575
hts1a,buzz-pump@2,buzzy,corrupt@2,depth=0.3045,0,1.9933721164706006,2.1040834891620075,2.941023849639345,13.663534980661607,13.394232176115324,-13.095066496594372,-10.740573443491867,0.3024151086973257,1.5078742115457047,0.9835561278246568,0.5557956669018085
hts1a,buzz-sharp@2,buzzy,corrupt@2,g1=0.7212,0,2.105009745073538,1.795668798436223,3.59411885012026,20.380916054029694,20.227680824918444,-18.06248540771224,-13.872648331934686,-0.14617614952242253,0.1612990834174397,0.996712944955391,0.568407925983342
hts1a,smooth-valley@2,smooth,corrupt@2,level_db=-28.34,0,1.9934747416207266,1.581633753381754,3.716158468705724,28.344906654088103,28.344906654087293,-22.44882318600769,-13.950637299644796,0.007434655876815022,0.1413626521814031,0.9932054824201163,0.557964431532477
hts1a,smooth-dither@2,smooth,corrupt@2,step=6.627,0,2.0883766424457724,1.1209322204134662,5.8138378579789105,31.195393438689532,35.0,-28.904715270156395,-6.001649888759706,0.0005744598697612346,0.03304577440508982,0.9992340617771942,0.5671523455878835
hts1a,buzz-spur@4,buzzy,corrupt@4,level_db=-35.11,0,4.032141502785063,2.927065023220167,9.592362520545471,17.154723623109675,18.99393792561348,-7.151218551555159,16.74525060259724,-0.01733103801081448,0.2519949800332846,0.9928876518332497,0.5621986601186671
hts1a,buzz-pump@4,buzzy,corrupt@4,depth=0.5966,0,3.995675335594353,3.715365563373453,7.18249266894202,7.822326241848202,7.553023437301919,-7.311939948977896,-4.907936611729832,0.850618337922219,2.701452847425347,0.9369661160053668,0.5337659838584927
hts1a,buzz-sharp@4,buzzy,corrupt@4,g1=0.6045,0,3.926944315035228,3.7402606780035654,6.287671543584174,13.765835691568242,13.740943677172364,-12.630022846655649,-9.02364805690436,-0.1951382157253958,0.2520231911829205,0.9825031004075242,0.5712209399326964
hts1a,smooth-valley@4,smooth,corrupt@4,level_db=-19.31,0,3.9855349376432687,3.4118612986881023,7.052838269193803,19.310593907925984,19.310593907925174,-13.547384507253502,-4.0337155140430685,0.022432290945721967,0.36999991289202594,0.9480207814412069,0.5217175780211682
