utt,variant,family,tier,lsd,d_dns_sig,d_dns_bak,d_dns_ovrl,d_dns_p808,d_nisqa_mos,d_nisqa_noi,d_nisqa_col,d_nisqa_dis
ve9qrp_10s,buzz-spur@4,buzzy,corrupt@4,4.051964294440442,0.056,-1.127,-0.519,0.126,-0.487,-0.884,0.487,0.364
ve9qrp_10s,par-noise-1000,smooth,resynth,8.360222096053793,-0.244,-1.271,-0.804,-0.271,-1.518,-0.444,-0.661,-1.047
ve9qrp_10s,par-noise-2000,smooth,resynth,7.995575941760984,-0.135,-0.912,-0.559,-0.202,-1.274,-0.292,-0.577,-1.273
ve9qrp_10s,par-plain,buzzy,resynth,7.621671022651792,0.029,-0.553,-0.265,-0.101,-1.113,-0.066,-0.601,-1.569
ve9qrp_10s,smooth-dither@2,smooth,corrupt@2,2.1117821167663733,-0.012,-0.444,-0.234,-0.056,-0.059,-0.563,-0.04,-0.022
ve9qrp_10s,smooth-dither@4,smooth,corrupt@4,3.875419527456032,-0.074,-0.49,-0.284,-0.06,-0.04,-0.872,0.042,0.13
ve9qrp_10s,smooth-mix-1500,smooth,resynth,7.764330013405273,-0.062,-0.854,-0.502,0.08,-0.564,-0.073,-0.371,-0.383
ve9qrp_10s,smooth-mix-800,smooth,resynth,7.925755906844918,-0.781,-1.501,-1.095,-0.071,-0.968,-0.38,-0.435,-0.357
ve9qrp_10s,smooth-valley@2,smooth,corrupt@2,1.984084173903527,0.066,-0.04,0.033,-0.017,-0.055,-0.093,0.03,0.139
ve9qrp_10s,smooth-valley@4,smooth,corrupt@4,3.9908862712329305,-0.051,-0.153,-0.127,-0.123,-0.808,-0.444,-0.34,-0.367
